+-----------+------------+
|  Nr nodes |   Time(ms) |
+-----------+------------+
|       500 |         26 |
|      1000 |          3 |
|      1500 |          5 |
|      2000 |          5 |
|      2500 |          6 |
|      3000 |          7 |
|      3500 |          8 |
|      4000 |          9 |
|      4500 |         11 |
|      5000 |         12 |
|      5500 |         16 |
|      6000 |         21 |
|      6500 |         18 |
|      7000 |         19 |
|      7500 |         19 |
|      8000 |         19 |
|      8500 |         28 |
|      9000 |         29 |
|      9500 |         38 |
|     10000 |         32 |
|     10500 |         38 |
|     11000 |         40 |
|     11500 |         31 |
|     12000 |         37 |
|     12500 |         38 |
|     13000 |         30 |
|     13500 |         30 |
|     14000 |         31 |
|     14500 |         34 |
|     15000 |         31 |
|     15500 |         35 |
|     16000 |         34 |
|     16500 |         35 |
|     17000 |         37 |
|     17500 |         39 |
|     18000 |         41 |
|     18500 |         38 |
|     19000 |         42 |
|     19500 |         41 |
|     20000 |         47 |
|     20500 |         43 |
|     21000 |         50 |
|     21500 |         45 |
|     22000 |         48 |
|     22500 |         47 |
|     23000 |         48 |
|     23500 |         48 |
|     24000 |         51 |
|     24500 |         55 |
|     25000 |         51 |
|     25500 |         55 |
|     26000 |         57 |
|     26500 |         56 |
|     27000 |         58 |
|     27500 |         58 |
|     28000 |         61 |
|     28500 |         61 |
|     29000 |         64 |
|     29500 |         63 |
|     30000 |         64 |
|     30500 |         64 |
|     31000 |         65 |
|     31500 |         71 |
|     32000 |         69 |
|     32500 |         66 |
|     33000 |         71 |
|     33500 |         69 |
|     34000 |         71 |
|     34500 |         74 |
|     35000 |         73 |
|     35500 |         77 |
|     36000 |         76 |
|     36500 |         76 |
|     37000 |         79 |
|     37500 |         80 |
|     38000 |         80 |
|     38500 |         81 |
|     39000 |         82 |
|     39500 |         88 |
|     40000 |         86 |
|     40500 |         84 |
|     41000 |         86 |
|     41500 |         88 |
|     42000 |         93 |
|     42500 |         90 |
|     43000 |         92 |
|     43500 |         96 |
|     44000 |         96 |
|     44500 |         96 |
|     45000 |         91 |
|     45500 |         96 |
|     46000 |        101 |
|     46500 |         97 |
|     47000 |        101 |
|     47500 |         97 |
|     48000 |        103 |
|     48500 |        103 |
|     49000 |        105 |
|     49500 |        106 |
|     50000 |        105 |
|     50500 |        109 |
|     51000 |        109 |
|     51500 |        115 |
|     52000 |        113 |
|     52500 |        110 |
|     53000 |        114 |
|     53500 |        113 |
|     54000 |        116 |
|     54500 |        116 |
|     55000 |        118 |
|     55500 |        118 |
|     56000 |        117 |
|     56500 |        122 |
|     57000 |        118 |
|     57500 |        126 |
|     58000 |        121 |
|     58500 |        123 |
|     59000 |        125 |
|     59500 |        124 |
|     60000 |        129 |
|     60500 |        125 |
|     61000 |        135 |
|     61500 |        135 |
|     62000 |        132 |
|     62500 |        134 |
|     63000 |        131 |
|     63500 |        134 |
|     64000 |        137 |
|     64500 |        138 |
|     65000 |        140 |
|     65500 |        139 |
|     66000 |        142 |
|     66500 |        139 |
|     67000 |        142 |
|     67500 |        143 |
|     68000 |        146 |
|     68500 |        149 |
|     69000 |        148 |
|     69500 |        148 |
|     70000 |        148 |
|     70500 |        154 |
|     71000 |        153 |
|     71500 |        154 |
|     72000 |        153 |
|     72500 |        154 |
|     73000 |        157 |
|     73500 |        159 |
|     74000 |        159 |
|     74500 |        164 |
|     75000 |        162 |
|     75500 |        161 |
|     76000 |        167 |
|     76500 |        169 |
|     77000 |        166 |
|     77500 |        168 |
|     78000 |        170 |
|     78500 |        168 |
|     79000 |        173 |
|     79500 |        169 |
|     80000 |        188 |
|     80500 |        176 |
|     81000 |        197 |
|     81500 |        190 |
|     82000 |        180 |
|     82500 |        179 |
|     83000 |        180 |
|     83500 |        184 |
|     84000 |        184 |
|     84500 |        188 |
|     85000 |        187 |
|     85500 |        186 |
|     86000 |        190 |
|     86500 |        188 |
|     87000 |        196 |
|     87500 |        198 |
|     88000 |        190 |
|     88500 |        198 |
|     89000 |        198 |
|     89500 |        201 |
|     90000 |        196 |
|     90500 |        200 |
|     91000 |        206 |
|     91500 |        199 |
|     92000 |        202 |
|     92500 |        203 |
|     93000 |        205 |
|     93500 |        205 |
|     94000 |        211 |
|     94500 |        211 |
|     95000 |        214 |
|     95500 |        217 |
|     96000 |        215 |
|     96500 |        218 |
|     97000 |        225 |
|     97500 |        217 |
|     98000 |        220 |
|     98500 |        220 |
|     99000 |        219 |
|     99500 |        228 |
|    100000 |        222 |
+-----------+------------+
