+-----------+------------+
|  Nr nodes |   Time(ms) |
+-----------+------------+
|       500 |         10 |
|      1000 |          9 |
|      1500 |         21 |
|      2000 |         55 |
|      2500 |         49 |
|      3000 |         58 |
|      3500 |         87 |
|      4000 |         86 |
|      4500 |        121 |
|      5000 |        119 |
|      5500 |        188 |
|      6000 |        222 |
|      6500 |        253 |
|      7000 |        259 |
|      7500 |        300 |
|      8000 |        358 |
|      8500 |        447 |
|      9000 |        484 |
|      9500 |        517 |
|     10000 |        578 |
+-----------+------------+
